index,predicate
5636,msg.sender==owner
8675,_swapFee>=SWAP_FEES[0]
826,b!=0
8036,_to!=address(0)
4760,c/a==b
5109,b>0
7933,msg.sender==IHasProtocolDaoInfo(factory).owner()||msg.sender==manager()||msg.sender==trader()
7534,order.sender.kind==ERC20_INTERFACE_ID
2633,currentAllowance>=amount
1995,msg.value==0
7642,b>0
69,b>0
4142,isContract(target)
3778,_target!=address(0)
6000,msg.sender==Ownable(factory).owner()
7820,cap>0
3332,_permissions(msg.sender)>=FurLib.PERMISSION_MODERATOR
8958,owner!=address(0)
7260,"msg.sender==database.addressStorage(keccak256(abi.encodePacked(""asset.manager"",_assetAddress[i])))"
4178,c/a==b
578,AuthorityDelegator(delegatedAuthoritySource).__isRecognized(msg.sender)
6192,success
6500,b<=a
9633,msg.value==0
54,IERC721(token).ownerOf(tokenId)==address(this)
92,"isValidSignature(permissionHash,signature)==VALID_SIG"
5509,isContract(target)
8801,"CollectionNotificationI(notificationContract).onAssetRemoved(_tokenAddress,_tokenId,_tokenType)==CollectionNotificationI(notificationContract).onAssetRemoved.selector"
1503,msg.sender==newOwner
4329,spender!=address(0)
2484,"LibAsset.unregisteredTransfer(assetId,recipient,amount)"
2959,account!=address(0)
1057,!_isExcluded[sender]
4831,recoveredAddress!=address(0)&&recoveredAddress==owner
9222,newInvestor!=address(0)
8208,os
2343,_checkPositionCollateralization(positionData)
5290,beneficiaryAddress!=address(0)
5916,isContract(target)
3402,_to!=address(0)
7114,balanceOf[msg.sender]>=_value
6894,b>0
5408,newFactor<=100
7413,_msgSender()==owner
2518,_ids.length==_values.length
4753,treasury!=address(0)
7261,address(token)!=address(0)
8860,_to!=address(0x0)
5520,msg.sender==locker
8967,burnTxHashes[burnTxHash]==false
8393,c>=a
8878,b>0
621,grants[grantId].revokedAt!=0
646,lockedBonds[newBondID]==0
901,_nextMintAuthority!=address(0)
3694,paused
327,to!=msg.sender
437,isContract(target)
3642,z/_x==_y
5952,saleIsActive
5986,msg.sender==governance
9219,"ethicHubStorage.getBool(keccak256(abi.encodePacked(""user"",""community"",_community)))"
3616,status>=Status.Withdrawn
7709,balanceOf[_to]+_value>balanceOf[_to]
4257,_exists(tokenId)
889,"(value==0)||(token.allowance(address(this),spender)==0)"
3403,_value<=balances[msg.sender]
5479,c/_a==_b
6102,msg.sender==linkdropMaster||msg.sender==owner
6623,_state==State.Active
3813,c>=a
7757,_value<=allowed[_from][msg.sender]
2830,_tokens.length>=MIN_BOUND_TOKENS
2105,_value<=balances[_from]
2128,msg.sender==address(governance)
6247,address(pool)==ITokenConfiguration(variableDebtTokenImpl).POOL()
5466,msg.sender==_owner
2651,recipient!=address(0)
2373,"transformedIdentifier!="""""
7316,_owner==_msgSender()
1932,_to!=address(0)&&_to!=address(this)
6121,isClaimedLink(_linkId)==false
1972,b<=a
5691,newOwner!=address(0)
8784,msg.sender==governance
4221,sender!=address(0)
1391,success
6833,address(this).balance>=value
1632,isValidAddress(target)
2000,size>0
690,signatureWithType.length==66
3596,status>=Status.Settled
7873,_owner==_msgSender()
3963,_msgSender()==_taxWallet
3127,balanceOf[_from]>=_value
219,secondPresaleOpen||thirdPresaleOpen
1837,playerAddress!=0
8017,to!=address(0)
8544,account!=address(0)
9214,_lendingDays>0
1676,tokenState==true
7383,_value<=allowed[_from][msg.sender]
2501,block.timestamp>=starttime
880,newOwner!=owner()&&newOwner!=pendingOwner
6344,amount<11
3693,!paused
3046,b<=a
7619,isContract(target)
2847,_records[tokenOut].bound
7780,allowNewDeposits==false
7524,_to!=address(0)
6007,_validFrom<=now
2222,time<=blockTime
4342,!_exists(_id)
6021,account!=address(0)
4069,address(this).balance>=value
5423,msg.sender==address(manager)
3317,b>0
8720,poolAmountIn>=MIN_POOL_AMOUNT
9504,address(token).isContract()
6495,tokenIndex<2
2326,params.tokenScaling.isGreaterThan(minScaling)&&params.tokenScaling.isLessThan(maxScaling)
1875,"IERC20(tos).transfer(to,amount)"
8998,"_msgSender()==owner||isApprovedForAll(owner,_msgSender())"
6198,newOwner!=address(0)
9420,_msgSender()==_feeAddrWallet1
3205,!_collateralDataSet
1848,isContract(target)
1694,adminContractAddress!=address(0)
8455,msg.sender==recipient
4476,!grantTeamSupply
4589,_exists(tokenId)
3576,numGoons>0&&numGoons<=5
991,owner!=address(0)
4844,amount0In>0||amount1In>0
8658,fee<=xconfig.getMaxExitFee()
3305,to!=address(0)
1878,_value1!=_value2
144,value==0
5124,allowanceMapping[sender][recipient]>=amount
9204,arbiter==msg.sender
5136,msg.sender==_proposedMinter
1541,!licenceDAOLocked()
7966,c>=a
2303,!shouldRevert
1251,_isAdmin(msg.sender)
9190,unreleased>0
9716,x!=0
2100,eta==0
6938,_recipient!=address(0)
6317,block.timestamp<=deadline
746,state
5783,handlerMap[msg.sender]
9193,a==0||c/a==b
3597,status==Status.Funded||status==Status.Withdrawn
9349,balanceOf(msg.sender)>=_tokens
3976,b<=a
4868,_value[i]>0
948,option.expiration<now
6671,"_checkOnERC721Received(address(0),to,tokenId,_data)"
2592,userBalance[_msgSender()]>=price
6688,bytes(_newVersion).length>0
9184,c>=a
3607,_amount<=debt.sub(_balance())
9201,!_paused
6829,b>0
3858,spender!=address(0)
3536,weiAmount>=0
4397,_currentHolidazeUrlKey>0
2942,"_msgSender()==owner||ERC721.isApprovedForAll(owner,_msgSender())"
6486,poolId==getPoolId()
6256,bonus<=MAX_VALID_LIQUIDATION_BONUS
2919,value==0
9841,pathLength>0
1945,amount<=_maxTxAmount
9406,b<=a
5482,msg.sender==owner
4254,"_isApprovedOrOwner(_msgSender(),tokenId)"
1558,!_isOwner(_addresses[i])
7082,b!=0
1867,block.timestamp>startTime
5105,spender!=address(0)
4185,amount>0
3128,balanceOf[_to]+_value>balanceOf[_to]
5562,validPurchase()
988,account!=address(0)
7447,block.timestamp>=lockedToken[_id].unlockTime
8923,_amount>0
8212,b>0
8169,msg.sender==manager
5387,"validateTradeInput(tradeInput.src,tradeInput.srcAmount,tradeInput.dest,tradeInput.destAddress)"
7610,account!=address(0)
1387,address(this).balance>=amount
6054,startTime==0
6415,msg.sender==owner
2961,owner!=address(0)
9819,!_paused
2037,c/_a==_b
8833,msg.sender==address(bancorNetwork)
9042,c>=a
4823,"tokenContract.transferFrom(msg.sender,this,quantity)"
7580,rAmount<=_rTotal
2167,amount<=totalRemaining
5718,_exists(_tokenId)
2872,tokenAmountIn<=maxAmountIn
5351,address(kernel())==preKernel
4304,msg.sender==owner
1769,_msgSender()==_feeAddrWallet1
3045,c>=a
3750,_isExcluded[account]
8641,a==0||c0/a==BONE
5744,ERC721.ownerOf(tokenId)==from
3784,!poolMap[tokenAddress]
5782,initialized==false
6071,teamId==1||teamId==2
6930,totalTokensSent>=minCap
9721,c>=a
3732,initializing||isConstructor()||!initialized
9315,success3
4183,from!=address(0)
7687,tokensOwed>0
3133,_to!=0x0
4461,_endTime>=_startTime
2133,isTokenMapped(_token)
3691,msg.sender==owner
7609,recipient!=address(0)
2668,V0>0
3773,numTokens<=allowed[owner][msg.sender]
8924,amount>0
8612,c>=a
9299,isContract(target)
9055,isReserveToken[_token]
6865,spenderAllowance>=amount
585,availableAmount(previousOperator)>=amount
2223,_getIdentifierWhitelist().isIdentifierSupported(identifier)
9015,msg.sender==newOwner
4482,!isFinalized
8684,maxAmountsIn.length==_tokens.length
3632,sellSystem
7140,c/a==b
3828,rAmount<=_rTotal
1268,!decimals
7424,sender!=buyback
6696,_current.length==3
6699,_new.length==3
3021,recipient!=address(0)
3865,_to!=address(0)
7558,(_value==0)||(allowed[msg.sender][_spender]==0)
13,parentAddress==address(0x0)
8142,account!=address(0)
5329,success
8610,_owner==_msgSender()
1747,_vaultData.stakes.length!=0
9458,c/a==b
4971,_value<=balances[_from]
5898,msg.sender==treasuryOwner
5561,beneficiary!=address(0)
9967,operator!=_msgSender()
3312,"hasRole(_roles[role].adminRole,_msgSender())"
1784,newOwner!=address(0)
8023,!frozenAccount[to]
1301,msg.value==_refund
4037,c/a==b
2783,spender!=address(0)
4914,_value<=balanceOf[msg.sender]
1677,state==false
6724,_logicContract!=logicContracts[_upgrade-1].logicContract
7626,b>0
1285,address(this).balance>=value
9871,owner()==_msgSender()
3138,this.balance>=amount*sellPrice
5037,ETHAssets_!=address(0)
6044,balance0>=data.reserve0&&balance1>=data.reserve1
4976,_value<=balances[msg.sender]
426,b!=0
4524,owner!=address(0)
3299,totalFees<=25
9991,lootId>0&&lootId<=8000
4986,to!=address(0)
2330,collateralAmount.isGreaterThan(0)&&collateralAmount.isLessThanOrEqual(_getFeeAdjustedCollateral(positionData.rawCollateral))
3641,_x>=_y
2087,account!=address(0)
2624,token!=_geyser.rewardToken
2176,_to!=address(0)
667,_newOwner!=address(0)
8123,sig.length==33
7432,msg.sender==owner
8139,account==_msgSender()
6832,success
9546,_owner==_msgSender()
4240,_exists(tokenId)
764,loanOffering.maxDuration==MathHelpers.maxUint32()
3096,_address!=address(0)
6347,msg.value>=amount*MINT_RATE
2732,recipient!=address(0)
175,_exists(tokenId)
706,principalToAdd>0
8183,users[_referrer].isExist
7095,newLockupPeriod<=lockupPeriod
